id,group_id,source,exact,prefix,suffix,anno_type,position_type,start,end,tags,all,origin_tags,comment,user,title,created
zu-asNnWEemke7_wkoqkNg,jgraPEon,https://europepmc.org/articles/PMC5832847/,prolyl oligo peptidase,to:MethodsPOP purificationHuman , was purified as described in Su,TextQuoteSelector,TextPositionSelector,32487,32509,MIS_GP,no,MIS_GP,,acct:farheen.s@hypothes.is,Rapid measurement of inhibitor binding kinetics by isothermal titration calorimetry.,2019-09-18T05:40:22.731157+00:00
vNvsttnWEemY3zM38DNe5g,jgraPEon,https://europepmc.org/articles/PMC5832847/,Human ,es.Go to:MethodsPOP purification,prolyl oligo peptidase was purif,TextQuoteSelector,TextPositionSelector,32481,32487,CRT_OG,no,CRT_OG,,acct:farheen.s@hypothes.is,Rapid measurement of inhibitor binding kinetics by isothermal titration calorimetry.,2019-09-18T05:39:52.428123+00:00
rWT1rNnWEem1GtN_FOxGGg,jgraPEon,https://europepmc.org/articles/PMC5832847/,bear ,"near universal enzyme assay, to ",on the important problem of inhi,TextQuoteSelector,TextPositionSelector,28817,28822,WT_OG,no,[WT_OG],,acct:farheen.s@hypothes.is,Rapid measurement of inhibitor binding kinetics by isothermal titration calorimetry.,2019-09-18T05:39:26.500265+00:00
pCe1utnWEemkH4-cC-slpQ,jgraPEon,https://europepmc.org/articles/PMC5832847/,TRH,ations in the NMR tube were 5mM ,", 50nM POP, and 50nM ZPP. The pe",TextQuoteSelector,TextPositionSelector,40552,40555,CRT_GP,yes,[CRT_GP][ALL],,acct:farheen.s@hypothes.is,Rapid measurement of inhibitor binding kinetics by isothermal titration calorimetry.,2019-09-18T05:39:10.944903+00:00
mbkwwtnWEem1GdvyRsK6tA,jgraPEon,https://europepmc.org/articles/PMC5832847/,TRH , 8.0) containing 10% D2O. A 5mM ,solution was prepared and POP wa,TextQuoteSelector,TextPositionSelector,40264,40268,MIS_GP,no,MIS_GP,,acct:farheen.s@hypothes.is,Rapid measurement of inhibitor binding kinetics by isothermal titration calorimetry.,2019-09-18T05:38:53.462186+00:00
eU6VUtnWEemTGIu49aWQcQ,jgraPEon,https://europepmc.org/articles/PMC5832847/, thyrotropin-releasing hormone, contained POP and the substrate, (TRH). POP cleaves TRH producin,TextQuoteSelector,TextPositionSelector,16343,16373,CRT_GP,no,CRT_GP,,acct:farheen.s@hypothes.is,Rapid measurement of inhibitor binding kinetics by isothermal titration calorimetry.,2019-09-18T05:37:59.039670+00:00
dsf8kus9Eempt_fj-yf_bg,jgraPEon,https://europepmc.org/articles/PMC5832847/,neurodegenerative disorders,enzyme implicated in cancer and ,"19,20. Compounds 2 and 4 bind no",TextQuoteSelector,TextPositionSelector,13424,13451,MIS_DS,no,MIS_DS,,acct:farheen.s@hypothes.is,Rapid measurement of inhibitor binding kinetics by isothermal titration calorimetry.,2019-10-10T09:08:02.805136+00:00
WiHDNNnWEemSccuq6AhLQg,jgraPEon,https://europepmc.org/articles/PMC5832847/,cancer ,e cleaving enzyme implicated in ,and neurodegenerative disorders1,TextQuoteSelector,TextPositionSelector,13413,13420,CRT_DS,no,CRT_DS,,acct:farheen.s@hypothes.is,Rapid measurement of inhibitor binding kinetics by isothermal titration calorimetry.,2019-09-18T05:37:06.791508+00:00
TJ0iqNnWEem1MXvx_cmqiw,jgraPEon,https://europepmc.org/articles/PMC5832847/,prolyl oligopeptidase,covalent inhibitors (Fig. 1) of ," (POP), a post-proline cleaving ",TextQuoteSelector,TextPositionSelector,13339,13360,MIS_GP,yes,[MIS_GP][ALL],,acct:farheen.s@hypothes.is,Rapid measurement of inhibitor binding kinetics by isothermal titration calorimetry.,2019-09-18T05:36:43.981808+00:00
T9CMQtnYEemY6uu_IRGrog,jgraPEon,https://europepmc.org/articles/PMC5832847/,BSA ,P in the same buffer above with ,(0.5mg/mL) added to help stabili,TextQuoteSelector,TextPositionSelector,32868,32872,MIS_GP,yes,[MIS_GP][ALL],,acct:farheen.s@hypothes.is,Rapid measurement of inhibitor binding kinetics by isothermal titration calorimetry.,2019-09-18T05:51:08.459087+00:00
MvDOfNnWEemZOEcWXPVR5A,jgraPEon,https://europepmc.org/articles/PMC5832847/, post-proline cleaving enzyme,"f prolyl oligopeptidase (POP), a", implicated in cancer and neurod,TextQuoteSelector,TextPositionSelector,13369,13398,CRT_GP,no,CRT_GP,,acct:farheen.s@hypothes.is,Rapid measurement of inhibitor binding kinetics by isothermal titration calorimetry.,2019-09-18T05:36:01.018694+00:00
JELoatnWEemFkYN4CO6qrg,jgraPEon,https://europepmc.org/articles/PMC5832847/,SKR,ructure–kinetics relationships (,) to better understand the relat,TextQuoteSelector,TextPositionSelector,10034,10037,WT_GP,yes,[WT_GP][ALL],,acct:farheen.s@hypothes.is,Rapid measurement of inhibitor binding kinetics by isothermal titration calorimetry.,2019-09-18T05:35:36.419792+00:00
F387ptnWEemY50MYYOrlDA,jgraPEon,https://europepmc.org/articles/PMC5832847/,enzyme inhibition,s for measuring the kinetics of ,. The advantages of ITC over sta,TextQuoteSelector,TextPositionSelector,8541,8558,WT_DS,yes,[WT_DS][ALL],,acct:farheen.s@hypothes.is,Rapid measurement of inhibitor binding kinetics by isothermal titration calorimetry.,2019-09-18T05:35:14.985151+00:00
4deKmNnWEemsDZP-JpnYsQ,jgraPEon,https://europepmc.org/articles/PMC5832847/,POP ,hemical structures.Go to:Methods,purificationHuman prolyl oligo p,TextQuoteSelector,TextPositionSelector,32465,32469,MIS_GP,yes,[MIS_GP][ALL],,acct:farheen.s@hypothes.is,Rapid measurement of inhibitor binding kinetics by isothermal titration calorimetry.,2019-09-18T05:40:54.391852+00:00
