id,group_id,source,exact,prefix,suffix,anno_type,position_type,start,end,tags,all,origin_tags,comment,user,title,created
zdPE4L8nEemKKp-oMhX1ng,jgraPEon,https://europepmc.org/articles/PMC4766309/,tsh,hout M12 and M41First-trimester ,Thickening L Precentral sulcusFr,TextQuoteSelector,TextPositionSelector,40741,40744,CRT_GP,yes,[CRT_GP][ALL],,acct:farheen.s@hypothes.is,Preliminary Findings Show Maternal Hypothyroidism May Contribute to Abnormal Cortical Morphology in Offspring.,2019-08-15T06:42:08.662788+00:00
z-twHL8rEemK19uqnNQbPg,jgraPEon,https://europepmc.org/articles/PMC4766309/,thyroid-stimulating hormone, low thyroxine or T4 but normal , or TSH) (46) but cortical volum,TextQuoteSelector,TextPositionSelector,14627,14654,MIS_GP,no,MIS_GP,,acct:farheen.s@hypothes.is,Preliminary Findings Show Maternal Hypothyroidism May Contribute to Abnormal Cortical Morphology in Offspring.,2019-08-15T07:10:50.137515+00:00
x49C3ss1EemMbff4vb6Rpw,jgraPEon,https://europepmc.org/articles/PMC4766309/,women,r offspring of hypothyroxinemic ,; effects on cortex of children ,TextQuoteSelector,TextPositionSelector,9501,9506,MIS_OG,yes,[MIS_OG][ALL],,acct:farheen.s@hypothes.is,Preliminary Findings Show Maternal Hypothyroidism May Contribute to Abnormal Cortical Morphology in Offspring.,2019-08-30T14:52:24.989275+00:00
w35f7L8mEem66b-BBwquMg,jgraPEon,https://europepmc.org/articles/PMC4766309/,autism spectrum disorder,"velopmental conditions, such as ",", attention-deficit hyperactive ",TextQuoteSelector,TextPositionSelector,13793,13817,CRT_DS,no,CRT_DS,,acct:farheen.s@hypothes.is,Preliminary Findings Show Maternal Hypothyroidism May Contribute to Abnormal Cortical Morphology in Offspring.,2019-08-15T06:34:41.777315+00:00
v37aeMs1EemaINcAZCU6AQ,jgraPEon,https://europepmc.org/articles/PMC4766309/,TH insufficiency,studies of humans examining how , affects cortical morphology are,TextQuoteSelector,TextPositionSelector,9368,9384,MIS_DS,yes,[MIS_DS][ALL],,acct:farheen.s@hypothes.is,Preliminary Findings Show Maternal Hypothyroidism May Contribute to Abnormal Cortical Morphology in Offspring.,2019-08-30T14:52:11.459927+00:00
tos_gL8mEemkqr9bC34euQ,jgraPEon,https://europepmc.org/articles/PMC4766309/,human, a longer – and hence thicker – ," cortex. Alternatively, the incr",TextQuoteSelector,TextPositionSelector,47819,47824,CRT_OG,yes,[CRT_OG][ALL],,acct:farheen.s@hypothes.is,Preliminary Findings Show Maternal Hypothyroidism May Contribute to Abnormal Cortical Morphology in Offspring.,2019-08-15T06:34:20.182085+00:00
s9nkdMs1EemEp_u9sVE3ew,jgraPEon,https://europepmc.org/articles/PMC4766309/,rodent,o be relatively posterior given , findings showing a posterior-to,TextQuoteSelector,TextPositionSelector,16106,16112,MIS_OG,yes,[MIS_OG][ALL],,acct:farheen.s@hypothes.is,Preliminary Findings Show Maternal Hypothyroidism May Contribute to Abnormal Cortical Morphology in Offspring.,2019-08-30T14:51:51.761662+00:00
rWcUxL8rEemO6ddWWCQUJQ,jgraPEon,https://europepmc.org/articles/PMC4766309/,William’s syndrome," alcohol spectrum disorder, and ", show a wide variety of CT abnor,TextQuoteSelector,TextPositionSelector,13914,13932,MIS_DS,no,MIS_DS,,acct:farheen.s@hypothes.is,Preliminary Findings Show Maternal Hypothyroidism May Contribute to Abnormal Cortical Morphology in Offspring.,2019-08-15T07:09:52.244490+00:00
mDogFL8mEemMVaN8stRUmQ,jgraPEon,https://europepmc.org/articles/PMC4766309/,defects,ich are typically attributed to , in neuronal migration or cortic,TextQuoteSelector,TextPositionSelector,14016,14023,WT_DS,yes,[WT_DS][ALL],,acct:farheen.s@hypothes.is,Preliminary Findings Show Maternal Hypothyroidism May Contribute to Abnormal Cortical Morphology in Offspring.,2019-08-15T06:33:29.113966+00:00
j7Ty2L8nEemd_48QqRZZ9Q,jgraPEon,https://europepmc.org/articles/PMC4766309/,handedness,"not differ in age, sex, SES, or ",. All participants scored above ,TextQuoteSelector,TextPositionSelector,23904,23914,WT_DS,yes,[WT_DS][ALL],,acct:farheen.s@hypothes.is,Preliminary Findings Show Maternal Hypothyroidism May Contribute to Abnormal Cortical Morphology in Offspring.,2019-08-15T06:40:24.523381+00:00
_iekrr8nEemkrHv9Zxf_Vg,jgraPEon,https://europepmc.org/articles/PMC4766309/,autism, attention-deficit disorder and ," (10, 65). Finally, our finding ",TextQuoteSelector,TextPositionSelector,51865,51871,CRT_DS,no,CRT_DS,,acct:farheen.s@hypothes.is,Preliminary Findings Show Maternal Hypothyroidism May Contribute to Abnormal Cortical Morphology in Offspring.,2019-08-15T06:43:29.825602+00:00
_ZqkgL8kEemx0zP4EiIIGg,jgraPEon,https://europepmc.org/articles/PMC4766309/,humans,elopment. Comparable studies of , examining how TH insufficiency ,TextQuoteSelector,TextPositionSelector,9347,9353,CRT_OG,yes,[CRT_OG][ALL],,acct:farheen.s@hypothes.is,Preliminary Findings Show Maternal Hypothyroidism May Contribute to Abnormal Cortical Morphology in Offspring.,2019-08-15T06:22:00.321498+00:00
XkoIZL8nEemJCLexXYXcrA,jgraPEon,https://europepmc.org/articles/PMC4766309/,dysembryoplastic neuroepithelial tumor,hild with a large right frontal ," was removed, 23 HYPO and 24 con",TextQuoteSelector,TextPositionSelector,20753,20791,CRT_DS,no,CRT_DS,,acct:farheen.s@hypothes.is,Preliminary Findings Show Maternal Hypothyroidism May Contribute to Abnormal Cortical Morphology in Offspring.,2019-08-15T06:39:01.608661+00:00
WjcQ1ss1EemDXq-AINeq0w,jgraPEon,https://europepmc.org/articles/PMC4766309/,CH,with congenital hypothyroidism (,"), who are TH-deficient in the p",TextQuoteSelector,TextPositionSelector,14145,14147,MIS_DS,yes,[MIS_DS][ALL],,acct:farheen.s@hypothes.is,Preliminary Findings Show Maternal Hypothyroidism May Contribute to Abnormal Cortical Morphology in Offspring.,2019-08-30T14:49:21.551631+00:00
RTxThr8nEemhSZeWD1D3IA,jgraPEon,https://europepmc.org/articles/PMC4766309/,hypothyroid, All mothers reported not being , in pregnancy or since delivery.,TextQuoteSelector,TextPositionSelector,18958,18969,WT_DS,yes,[WT_DS][ALL],,acct:farheen.s@hypothes.is,Preliminary Findings Show Maternal Hypothyroidism May Contribute to Abnormal Cortical Morphology in Offspring.,2019-08-15T06:38:19.483935+00:00
QTZbIss2Eemab4sJw5HwIg,jgraPEon,https://europepmc.org/articles/PMC4766309/,Maternal Hypothyroidism,941710Preliminary Findings Show , May Contribute to Abnormal Cort,TextQuoteSelector,TextPositionSelector,6555,6578,WS_DS,yes,[WS_DS][ALL],,acct:farheen.s@hypothes.is,Preliminary Findings Show Maternal Hypothyroidism May Contribute to Abnormal Cortical Morphology in Offspring.,2019-08-30T14:55:49.004438+00:00
MLoyAMs2EemzTUNd87mNWQ,jgraPEon,https://europepmc.org/articles/PMC4766309/,hypothyroidism in pregnancy,ated for preexisting or de novo , (HYPO) and 24 similar age and s,TextQuoteSelector,TextPositionSelector,9720,9747,CRT_DS,yes,[CRT_DS][ALL],,acct:farheen.s@hypothes.is,Preliminary Findings Show Maternal Hypothyroidism May Contribute to Abnormal Cortical Morphology in Offspring.,2019-08-30T14:55:21.383955+00:00
L40DZL8nEemqYsPvMQxhuQ,jgraPEon,https://europepmc.org/articles/PMC4766309/,thyroid cancer,for hyperthyroidism and one for ,. Thyroid function test results ,TextQuoteSelector,TextPositionSelector,17690,17704,CRT_DS,no,CRT_DS,,acct:farheen.s@hypothes.is,Preliminary Findings Show Maternal Hypothyroidism May Contribute to Abnormal Cortical Morphology in Offspring.,2019-08-15T06:37:43.125390+00:00
JPgtkr8oEemqY3_g4co4gQ,jgraPEon,https://europepmc.org/articles/PMC4766309/,iodine deficiency,"pothyroidism, hypothyroxinemia, ",) is warranted. Future studies a,TextQuoteSelector,TextPositionSelector,56979,56996,CRT_DS,no,CRT_DS,,acct:farheen.s@hypothes.is,Preliminary Findings Show Maternal Hypothyroidism May Contribute to Abnormal Cortical Morphology in Offspring.,2019-08-15T06:44:34.801868+00:00
JIOI7r8nEemCxM-rLn_ymg,jgraPEon,https://europepmc.org/articles/PMC4766309/,hyperthyroidism,"n had thyroid ablation, one for ", and one for thyroid cancer. Thy,TextQuoteSelector,TextPositionSelector,17662,17677,CRT_DS,no,CRT_DS,,acct:farheen.s@hypothes.is,Preliminary Findings Show Maternal Hypothyroidism May Contribute to Abnormal Cortical Morphology in Offspring.,2019-08-15T06:37:24.671433+00:00
J7uiyL8lEemEt5MF3cqKuw,jgraPEon,https://europepmc.org/articles/PMC4766309/,hypothyroidism,women with clinically diagnosed , are not known. We studied archi,TextQuoteSelector,TextPositionSelector,9578,9592,CRT_DS,yes,[CRT_DS][ALL],,acct:farheen.s@hypothes.is,Preliminary Findings Show Maternal Hypothyroidism May Contribute to Abnormal Cortical Morphology in Offspring.,2019-08-15T06:23:11.108665+00:00
IdVLhL8lEemO5tsXfCYxdQ,jgraPEon,https://europepmc.org/articles/PMC4766309/,hypothyroidism,rnal TH insufficiency.Keywords: ,", pregnancy, thyroid hormone, co",TextQuoteSelector,TextPositionSelector,11262,11276,MIS_DS,no,MIS_DS,,acct:farheen.s@hypothes.is,Preliminary Findings Show Maternal Hypothyroidism May Contribute to Abnormal Cortical Morphology in Offspring.,2019-08-15T06:23:01.130969+00:00
