id,group_id,source,exact,prefix,suffix,anno_type,position_type,start,end,tags,all,origin_tags,comment,user,title,created
x9o-AuZuEemhH6eKcYyOEQ,jgraPEon,https://europepmc.org/articles/PMC4384350/,protease ,"on of many proteins, as the HIV ",[1].An important class of experi,TextQuoteSelector,TextPositionSelector,10610,10619,MIS_GP,no,MIS_GP,,acct:farheen.s@hypothes.is,An algorithm to enumerate all possible protein conformations verifying a set of distance constraints.,2019-10-04T06:18:28.330098+00:00
qmsUkOZuEem_1r_vkWCQEQ,jgraPEon,https://europepmc.org/articles/PMC4384350/,ARIA,d assignment algorithms such as ," [68], CYANA [69] or UNIO [70], ",TextQuoteSelector,TextPositionSelector,77514,77518,WT_GP,no,[WT_GP],,acct:farheen.s@hypothes.is,An algorithm to enumerate all possible protein conformations verifying a set of distance constraints.,2019-10-04T06:17:38.945300+00:00
oFwhauZuEemo1pfZRj2kzw,jgraPEon,https://europepmc.org/articles/PMC4384350/, TRP-2,"C terminal parts of the α-helix,",", PHE-5, LYS-3, LYS-6 and VAL-11",TextQuoteSelector,TextPositionSelector,69357,69363,WT_GP,no,[WT_GP],,acct:farheen.s@hypothes.is,An algorithm to enumerate all possible protein conformations verifying a set of distance constraints.,2019-10-04T06:17:22.080657+00:00
XcQa2OZuEemGQI-dXgjTeA,jgraPEon,https://europepmc.org/articles/PMC4384350/,GGL,"wn as Generic Geometry Library, ",: www.boost.org).Constraints on ,TextQuoteSelector,TextPositionSelector,50750,50753,WT_GP,no,[WT_GP],,acct:farheen.s@hypothes.is,An algorithm to enumerate all possible protein conformations verifying a set of distance constraints.,2019-10-04T06:15:30.276706+00:00
VXJQrOZuEem5Z-u2WJJwlg,jgraPEon,https://europepmc.org/articles/PMC4384350/, prunes,"tained for k is discarded, which", all tree branches originating f,TextQuoteSelector,TextPositionSelector,40502,40509,WT_GP,no,[WT_GP],,acct:farheen.s@hypothes.is,An algorithm to enumerate all possible protein conformations verifying a set of distance constraints.,2019-10-04T06:15:15.974643+00:00
TZKiiOZuEemTfVNIIFc07g,jgraPEon,https://europepmc.org/articles/PMC4384350/,ato ,"one, following the atom order P
",described in Figure ​Figure33 an,TextQuoteSelector,TextPositionSelector,18100,18104,WT_GP,yes,[WT_GP][ALL],,acct:farheen.s@hypothes.is,An algorithm to enumerate all possible protein conformations verifying a set of distance constraints.,2019-10-04T06:15:03.067467+00:00
OhEpjOZuEemYBnvSFVhlIA,jgraPEon,https://europepmc.org/articles/PMC4384350/, torsion,tances derived from the backbone, angles ϕ and ψ;hydrogen bonds i,TextQuoteSelector,TextPositionSelector,17934,17942,WT_DS,yes,[WT_DS][ALL],,acct:farheen.s@hypothes.is,An algorithm to enumerate all possible protein conformations verifying a set of distance constraints.,2019-10-04T06:14:30.384721+00:00
MefE-uZuEem15lM1_1Wpgg,jgraPEon,https://europepmc.org/articles/PMC4384350/, arcs,"th currently in use, with dotted"," pruned paths, and with dashed a",TextQuoteSelector,TextPositionSelector,15369,15374,WT_DS,yes,[WT_DS][ALL],,acct:farheen.s@hypothes.is,An algorithm to enumerate all possible protein conformations verifying a set of distance constraints.,2019-10-04T06:14:16.581376+00:00
KJTuMuZuEemSvCvqdEl6fQ,jgraPEon,https://europepmc.org/articles/PMC4384350/,HIV,"nction of many proteins, as the ", protease [1].An important class,TextQuoteSelector,TextPositionSelector,10606,10609,CRT_OG,no,CRT_OG,,acct:farheen.s@hypothes.is,An algorithm to enumerate all possible protein conformations verifying a set of distance constraints.,2019-10-04T06:14:01.032012+00:00
DSBzzuZuEemrQDeSKo_TZg,jgraPEon,https://europepmc.org/articles/PMC4384350/,Prune,ose here an interval Branch-and-, algorithm (iBP) to solve the Di,TextQuoteSelector,TextPositionSelector,8835,8840,WT_GP,yes,[WT_GP][ALL],,acct:farheen.s@hypothes.is,An algorithm to enumerate all possible protein conformations verifying a set of distance constraints.,2019-10-04T06:13:14.684042+00:00
