Functional	O
significance	O
of	O
nuclear	O
export	O
and	O
mRNA	O
binding	O
of	O
meiotic	O
regulator	O
Spo5	B-GP
in	O
fission	B-OG
yeast	I-OG

Background	O

Meiotic	O
cells	O
undergo	O
two	O
rounds	O
of	O
nuclear	O
division	O
and	O
generate	O
gametes	O
.	O

Previous	O
studies	O
have	O
indicated	O
that	O
a	O
number	O
of	O
transcription	B-GP
factors	I-GP
modulate	O
the	O
transcriptome	O
in	O
successive	O
waves	O
during	O
meiosis	O
and	O
spore	O
formation	O
in	O
fission	B-OG
yeast	I-OG
.	O

However	O
,	O
the	O
mechanisms	O
underlying	O
the	O
post	O
-	O
transcriptional	O
regulation	O
in	O
meiosis	O
are	O
not	O
fully	O
understood	O
.	O

The	O
fission	B-OG
yeast	I-OG
spo5	B-GP
+	O
gene	O
encodes	O
a	O
meiosis	O
-	O
specific	O
RNA	B-GP
-	I-GP
binding	I-GP
protein	I-GP
,	O
which	O
is	O
required	O
for	O
the	O
progression	O
of	O
meiosis	O
II	O
and	O
spore	O
formation	O
.	O

However	O
,	O
the	O
target	O
RNA	O
molecules	O
of	O
Spo5	B-GP
are	O
yet	O
to	O
be	O
identified	O
.	O

Characterization	O
of	O
meiosis	O
-	O
specific	O
RNA	B-GP
-	I-GP
binding	I-GP
proteins	I-GP
will	O
provide	O
insight	O
into	O
how	O
post	O
-	O
transcriptional	O
regulation	O
influence	O
gene	O
expression	O
during	O
sexual	O
differentiation	O
.	O

Results	O

To	O
assess	O
the	O
functional	O
significance	O
of	O
RNA	O
-	O
recognition	O
motifs	O
(	O
RRMs	O
)	O
of	O
Spo5	B-GP
,	O
we	O
constructed	O
a	O
series	O
of	O
new	O
spo5	B-GP
truncated	O
mutants	O
and	O
previously	O
reported	O
spo5	B-GP
missense	O
mutants	O
.	O

In	O
addition	O
,	O
we	O
isolated	O
novel	O
spo5	B-GP
missense	O
mutants	O
.	O

The	O
phenotypic	O
characteristics	O
of	O
these	O
mutants	O
indicated	O
that	O
the	O
RRMs	O
are	O
essential	O
for	O
both	O
the	O
localization	O
and	O
function	O
of	O
the	O
protein	O
.	O

Interestingly	O
,	O
Spo5	B-GP
is	O
exported	O
from	O
the	O
nucleus	O
to	O
the	O
cytoplasm	O
via	O
the	O
Rae1	B-GP
-	O
dependent	O
mRNA	O
export	O
pathway	O
,	O
but	O
is	O
unlikely	O
to	O
be	O
involved	O
in	O
global	O
mRNA	O
export	O
.	O

Furthermore	O
,	O
cytoplasmic	O
localization	O
of	O
Spo5	B-GP
is	O
important	O
for	O
its	O
function	O
,	O
which	O
suggests	O
the	O
involvement	O
of	O
Spo5	B-GP
in	O
post	O
-	O
transcriptional	O
regulation	O
.	O

We	O
identified	O
pcr1	B-GP
+	O
mRNA	O
as	O
one	O
of	O
the	O
critical	O
targets	O
of	O
Spo5	B-GP
.	O

The	O
pcr1	B-GP
+	O
gene	O
encodes	O
an	O
activating	B-GP
transcription	I-GP
factor	I-GP
/	O
cAMP	O
response	O
element	O
binding	O
(	O
ATF	B-GP
/	O
CREB	B-GP
)	O
transcription	B-GP
factor	I-GP
family	O
.	O

Among	O
the	O
four	O
family	O
members	O
,	O
namely	O
Pcr1	B-GP
,	O
Atf1	B-GP
,	O
Atf21	B-GP
,	O
and	O
Atf31	B-GP
,	O
only	O
the	O
mRNA	O
encoding	O
Pcr1	B-GP
binds	O
to	O
Spo5	B-GP
.	O

Conclusions	O

Spo5	B-GP
is	O
exported	O
from	O
the	O
nucleus	O
with	O
mRNAs	O
via	O
the	O
Rae1	B-GP
-	O
dependent	O
pathway	O
.	O

RRMs	O
are	O
necessary	O
for	O
this	O
process	O
and	O
also	O
for	O
the	O
function	O
of	O
Spo5	B-GP
after	O
the	O
nuclear	O
export	O
.	O

Spo5	B-GP
appears	O
to	O
influence	O
the	O
activity	O
of	O
pcr1	B-GP
+	O
mRNA	O
,	O
and	O
the	O
mechanism	O
of	O
how	O
Spo5	B-GP
stimulates	O
the	O
mRNA	O
to	O
promote	O
the	O
progression	O
of	O
meiosis	O
II	O
and	O
spore	O
formation	O
remains	O
an	O
intriguing	O
question	O
for	O
future	O
research	O
.	O

Background	O

Meiosis	O
is	O
a	O
specialized	O
cell	O
division	O
process	O
,	O
which	O
includes	O
premeiotic	O
DNA	O
synthesis	O
,	O
DNA	O
recombination	O
followed	O
by	O
two	O
rounds	O
of	O
cell	O
division	O
,	O
and	O
gametogenesis	O
[	O
1	O
-	O
4	O
].	O

It	O
has	O
been	O
shown	O
in	O
the	O
fission	B-OG
yeast	I-OG
Schizosaccharomyces	B-OG
pombe	I-OG
[	O
5	O
-	O
8	O
]	O
and	O
the	O
budding	O
yeast	B-OG
Saccharomyces	B-OG
cerevisiae	I-OG
[	O
1	O
,	O
9	O
-	O
12	O
]	O
that	O
a	O
number	O
of	O
transcription	B-GP
factors	I-GP
dramatically	O
modulate	O
the	O
transcriptome	O
to	O
facilitate	O
meiosis	O
,	O
thereby	O
playing	O
critical	O
roles	O
in	O
meiotic	O
progression	O
and	O
sporulation	O
(	O
gametogenesis	O
).	O

In	O
addition	O
to	O
transcriptional	O
regulation	O
,	O
post	O
-	O
transcriptional	O
regulation	O
plays	O
a	O
fundamental	O
role	O
in	O
the	O
progression	O
of	O
meiosis	O
and	O
gametogenesis	O
in	O
higher	O
eukaryotes	B-OG
.	O

For	O
example	O
,	O
cessation	O
of	O
transcription	O
followed	O
by	O
complex	O
translational	O
activation	O
and	O
repression	O
of	O
stored	O
maternal	O
mRNAs	O
occurs	O
in	O
Xenopus	B-OG
oocytes	O
during	O
meiotic	O
progression	O
(	O
oocyte	O
