Replication	O
Inhibition	O
of	O
Hepatitis	B-OG
B	I-OG
Virus	I-OG
and	O
Hepatitis	B-OG
C	I-OG
Virus	I-OG
in	O
Co	O
-	O
Infected	O
Patients	O
in	O
Chinese	O
Population	O

Competing	O
Interests	O
:	O
The	O
authors	O
have	O
declared	O
that	O
no	O
competing	O
interests	O
exist	O
.	O

Conceived	O
and	O
designed	O
the	O
experiments	O
:	O
JQN	O
YP	O
.	O

Performed	O
the	O
experiments	O
:	O
GY	O
XMC	O
XMW	O
XZG	O
XWF	O
YDG	O
YP	O
FK	O
XXH	O
JLJ	O
YQ	O
.	O

Analyzed	O
the	O
data	O
:	O
GY	O
RHW	O
.	O

Contributed	O
reagents	O
/	O
materials	O
/	O
analysis	O
tools	O
:	O
JQN	O
XMC	O
.	O

Wrote	O
the	O
paper	O
:	O
GY	O
XMC	O
ZKT	O
BS	O
JZ	O
.	O

Background	O

Hepatitis	O
B	O
virus	B-OG
(	O
HBV	B-OG
)	O
and	O
hepatitis	B-OG
C	I-OG
virus	I-OG
(	O
HCV	B-OG
)	O
co	B-DS
-	I-DS
infections	I-DS
contributes	O
to	O
a	O
substantial	O
proportion	O
of	O
liver	B-DS
disease	I-DS
worldwide	O
.	O

The	O
aim	O
of	O
this	O
study	O
was	O
to	O
assess	O
the	O
clinical	O
and	O
virological	O
features	O
of	O
HBV	B-OG
-	O
HCV	B-OG
co	B-DS
-	I-DS
infection	I-DS
.	O

Methods	O

Demographic	O
data	O
were	O
collected	O
for	O
3238	O
high	O
-	O
risk	O
people	O
from	O
an	O
HCV	B-OG
-	O
endemic	O
region	O
in	O
China	O
.	O

Laboratory	O
tests	O
included	O
HCV	B-OG
antibody	B-GP
and	O
HBV	B-OG
serological	O
markers	O
,	O
liver	O
function	O
tests	O
,	O
and	O
routine	O
blood	O
analysis	O
.	O

Anti	O
-	O
HCV	B-OG
positive	O
samples	O
were	O
analyzed	O
for	O
HCV	B-OG
RNA	O
levels	O
and	O
subgenotypes	O
.	O

HBsAg	B-GP
-	O
positive	O
samples	O
were	O
tested	O
for	O
HBV	B-OG
DNA	O
.	O

Results	O

A	O
total	O
of	O
1468	O
patients	O
had	O
chronic	O
HCV	B-OG
and	O
/	O
or	O
HBV	B-DS
infections	I-DS
.	O

Among	O
them	O
,	O
1200	O
individuals	O
were	O
classified	O
as	O
HCV	B-OG
mono	O
-	O
infected	O
,	O
161	O
were	O
classified	O
as	O
HBV	B-OG
mono	O
-	O
infected	O
,	O
and	O
107	O
were	O
classified	O
as	O
co	O
-	O
infected	O
.	O

The	O
HBV	B-OG
-	O
HCV	B-OG
co	O
-	O
infected	O
patients	O
not	O
only	O
had	O
a	O
lower	O
HBV	B-OG
DNA	O
positive	O
rate	O
compared	O
to	O
HBV	B-OG
mono	O
-	O
infected	O
patients	O
(	O
84	O
.	O
1	O
%	O
versus	O
94	O
.	O
4	O
%,	O
respectively	O
;	O
P	O
<	O
0	O
.	O
001	O
).	O

The	O
median	O
HCV	B-OG
RNA	O
levels	O
in	O
HBV	B-OG
-	O
HCV	B-OG
co	O
-	O
infected	O
patients	O
were	O
significantly	O
lower	O
than	O
those	O
in	O
the	O
HCV	B-OG
mono	O
-	O
infected	O
patients	O
(	O
1	O
.	O
18	O
[	O
Interquartile	O
range	O
(	O
IQR	O
)	O
0	O
–	O
5	O
.	O
57	O
]	O
versus	O
5	O
.	O
87	O
[	O
IQR	O
,	O
3	O
.	O
54	O
–	O
6	O
.	O
71	O
]	O
