id,group_id,source,exact,prefix,suffix,anno_type,position_type,start,end,tags,all,origin_tags,comment,user,title,created
zi_gQOqXEemLVt_wZw9Z9w,b53nbDmi,https://europepmc.org/articles/PMC4658497/,West Nile virus," testing for influenza A virus, ", (WNV) and other flaviviruses wa,TextQuoteSelector,TextPositionSelector,17781,17796,CRT_OG,no,CRT_OG,,acct:vanitha_hg@hypothes.is,Drowning is an apparent and unexpected recurrent cause of mass mortality of Common starlings (Sturnus vulgaris).,2019-10-09T13:22:12.687126+00:00
zDfoWOqUEemcypfeAI3IHQ,b53nbDmi,https://europepmc.org/articles/PMC4658497/,avian influenza virus, such as H5N1 highly pathogenic ,1 and West Nile virus2. Mortalit,TextQuoteSelector,TextPositionSelector,10074,10095,"WT_DS,OG",no,[WT_DS][OG],,acct:vanitha_hg@hypothes.is,Drowning is an apparent and unexpected recurrent cause of mass mortality of Common starlings (Sturnus vulgaris).,2019-10-09T13:00:41.073244+00:00
y_0wnuqWEemGA9t6It4p2Q,b53nbDmi,https://europepmc.org/articles/PMC4658497/,kestrel, little owl (Athene noctua) and , (Falco tinnunculus)35. A single,TextQuoteSelector,TextPositionSelector,14080,14087,MIS_OG,no,MIS_OG,,acct:vanitha_hg@hypothes.is,Drowning is an apparent and unexpected recurrent cause of mass mortality of Common starlings (Sturnus vulgaris).,2019-10-09T13:14:59.690487+00:00
xgJZeuqXEemSIWNSzDyyOQ,b53nbDmi,https://europepmc.org/articles/PMC4658497/,influenza A virus, reaction (RRT-PCR) testing for ,", West Nile virus (WNV) and othe",TextQuoteSelector,TextPositionSelector,17762,17779,"WT_DS,OG",yes,[WT_DS][OG][ALL],,acct:vanitha_hg@hypothes.is,Drowning is an apparent and unexpected recurrent cause of mass mortality of Common starlings (Sturnus vulgaris).,2019-10-09T13:21:59.173175+00:00
xbpfuuqUEemhKrsz9BJWVQ,b53nbDmi,https://europepmc.org/articles/PMC4658497/,H5N1,"and zoonotic pathogens, such as ", highly pathogenic avian influen,TextQuoteSelector,TextPositionSelector,10051,10055,CRT_OG,no,CRT_OG,,acct:vanitha_hg@hypothes.is,Drowning is an apparent and unexpected recurrent cause of mass mortality of Common starlings (Sturnus vulgaris).,2019-10-09T13:00:30.112316+00:00
wJbrjuqZEemCcJuJ3wtycQ,b53nbDmi,https://europepmc.org/articles/PMC4658497/,vultures ,bserved affecting South African ,(Gyps africanus and G. coprother,TextQuoteSelector,TextPositionSelector,36436,36445,MIS_OG,yes,[MIS_OG][ALL],,acct:vanitha_hg@hypothes.is,Drowning is an apparent and unexpected recurrent cause of mass mortality of Common starlings (Sturnus vulgaris).,2019-10-09T13:36:09.007535+00:00
vlXgjOqUEem9NLdbVullHw,b53nbDmi,https://europepmc.org/articles/PMC4658497/,Infectious disease,ic concern and media attention. , is frequently considered a like,TextQuoteSelector,TextPositionSelector,9878,9896,CRT_DS,yes,[CRT_DS][ALL],,acct:vanitha_hg@hypothes.is,Drowning is an apparent and unexpected recurrent cause of mass mortality of Common starlings (Sturnus vulgaris).,2019-10-09T13:00:17.793578+00:00
ve1nNuqVEemCLvuDDWEePg,b53nbDmi,https://europepmc.org/articles/PMC4658497/,trichomonosis,"lasmosis22, salmonellosis23 and ","24, has been frequently diagnose",TextQuoteSelector,TextPositionSelector,11482,11495,MIS_DS,no,MIS_DS,,acct:vanitha_hg@hypothes.is,Drowning is an apparent and unexpected recurrent cause of mass mortality of Common starlings (Sturnus vulgaris).,2019-10-09T13:07:26.155579+00:00
uwgi4uqYEemED9vm5Y_LAQ,b53nbDmi,https://europepmc.org/articles/PMC4658497/,Clostridium, a morphology consistent with a , species are present (arrowhead),TextQuoteSelector,TextPositionSelector,27768,27779,MIS_OG,no,MIS_OG,,acct:vanitha_hg@hypothes.is,Drowning is an apparent and unexpected recurrent cause of mass mortality of Common starlings (Sturnus vulgaris).,2019-10-09T13:28:50.055581+00:00
uDJTeuqUEemOWzfoPT_Iyw,b53nbDmi,https://europepmc.org/articles/PMC4658497/,starling,stigating incidents of multiple ," mortality, especially of juveni",TextQuoteSelector,TextPositionSelector,9719,9727,CRT_OG,yes,[CRT_OG][ALL],,acct:vanitha_hg@hypothes.is,Drowning is an apparent and unexpected recurrent cause of mass mortality of Common starlings (Sturnus vulgaris).,2019-10-09T13:00:07.405541+00:00
u6ea1uqWEemFsA-jDsIQLw,b53nbDmi,https://europepmc.org/articles/PMC4658497/,Athene noctua," owl (Strix aluco), little owl (",) and kestrel (Falco tinnunculus,TextQuoteSelector,TextPositionSelector,14061,14074,CRT_OG,no,CRT_OG,,acct:vanitha_hg@hypothes.is,Drowning is an apparent and unexpected recurrent cause of mass mortality of Common starlings (Sturnus vulgaris).,2019-10-09T13:14:32.117850+00:00
tiYYNuqVEemruwtgv9JjfA,b53nbDmi,https://europepmc.org/articles/PMC4658497/,salmonellosis,"eases, such as mycoplasmosis22, ","23 and trichomonosis24, has been",TextQuoteSelector,TextPositionSelector,11462,11475,MIS_DS,no,MIS_DS,,acct:vanitha_hg@hypothes.is,Drowning is an apparent and unexpected recurrent cause of mass mortality of Common starlings (Sturnus vulgaris).,2019-10-09T13:07:13.377320+00:00
spHj3uqWEem5BVMbaECvJA,b53nbDmi,https://europepmc.org/articles/PMC4658497/,little owl,"alba), tawny owl (Strix aluco), ", (Athene noctua) and kestrel (Fa,TextQuoteSelector,TextPositionSelector,14049,14059,CRT_OG,no,CRT_OG,,acct:vanitha_hg@hypothes.is,Drowning is an apparent and unexpected recurrent cause of mass mortality of Common starlings (Sturnus vulgaris).,2019-10-09T13:14:16.896299+00:00
rlKzqOqVEemuWwcGRE1ZwA,b53nbDmi,https://europepmc.org/articles/PMC4658497/,mycoplasmosis,"to infectious diseases, such as ","22, salmonellosis23 and trichomo",TextQuoteSelector,TextPositionSelector,11445,11458,MIS_DS,no,MIS_DS,,acct:vanitha_hg@hypothes.is,Drowning is an apparent and unexpected recurrent cause of mass mortality of Common starlings (Sturnus vulgaris).,2019-10-09T13:07:00.427132+00:00
qY1fmOqWEempd0NAK3l3ag,b53nbDmi,https://europepmc.org/articles/PMC4658497/,Strix aluco,"arn owl (Tyto alba), tawny owl (","), little owl (Athene noctua) an",TextQuoteSelector,TextPositionSelector,14035,14046,CRT_OG,no,CRT_OG,,acct:vanitha_hg@hypothes.is,Drowning is an apparent and unexpected recurrent cause of mass mortality of Common starlings (Sturnus vulgaris).,2019-10-09T13:14:01.925868+00:00
pm5QbOqUEemSnhdeJJVwfA,b53nbDmi,https://europepmc.org/articles/PMC4658497/,Turdus merula,tarlings and Common blackbirds (,"), also a common garden visitor,",TextQuoteSelector,TextPositionSelector,9343,9356,CRT_OG,yes,[CRT_OG][ALL],,acct:vanitha_hg@hypothes.is,Drowning is an apparent and unexpected recurrent cause of mass mortality of Common starlings (Sturnus vulgaris).,2019-10-09T12:59:37.757969+00:00
