id,group_id,source,exact,prefix,suffix,anno_type,position_type,start,end,tags,all,origin_tags,comment,user,title,created
t0IibtOTEemG28cPkOcBqQ,b53nbDmi,https://europepmc.org/articles/PMC3581133/,CMD,onaceous model particles with a , of 95nm resulted in an efficien,TextQuoteSelector,TextPositionSelector,42587,42590,WT_GP,no,[WT_GP],,acct:vanitha_hg@hypothes.is,The CULTEX RFS: a comprehensive technical approach for the in vitro exposure of airway epithelial cells to the particulate matter at the air-liquid interface.,2019-09-10T06:24:59.707802+00:00
lS7UUtOSEemk0P8q_mab2g,b53nbDmi,https://europepmc.org/articles/PMC3581133/,SE2,"s, using the precision balance (","-F filter ultra-microbalance, Sa",TextQuoteSelector,TextPositionSelector,18658,18661,WT_GP,no,[WT_GP],,acct:vanitha_hg@hypothes.is,The CULTEX RFS: a comprehensive technical approach for the in vitro exposure of airway epithelial cells to the particulate matter at the air-liquid interface.,2019-09-10T06:16:52.943405+00:00
iT99rtOSEemOpau40Ol8-A,b53nbDmi,https://europepmc.org/articles/PMC3581133/,APS,h an Aerodynamic Particle Sizer , (3321/TSI Incorporated) in the ,TextQuoteSelector,TextPositionSelector,18298,18301,WT_GP,yes,[WT_GP][ALL],,acct:vanitha_hg@hypothes.is,The CULTEX RFS: a comprehensive technical approach for the in vitro exposure of airway epithelial cells to the particulate matter at the air-liquid interface.,2019-09-10T06:16:33.002322+00:00
bsLS1tOTEemKAb9cAgQP8g,b53nbDmi,https://europepmc.org/articles/PMC3581133/,tumors," (A549) cell lines, mostly from ", as well as human primary cells ,TextQuoteSelector,TextPositionSelector,34951,34957,CRT_DS,no,CRT_DS,,acct:vanitha_hg@hypothes.is,The CULTEX RFS: a comprehensive technical approach for the in vitro exposure of airway epithelial cells to the particulate matter at the air-liquid interface.,2019-09-10T06:22:57.999786+00:00
Vzvy2NOSEemjM0dh_a5GIQ,b53nbDmi,https://europepmc.org/articles/PMC3581133/,cylinder,f powders by a pneumo-hydraulic ,.2.3. Aerosol GenerationThe aero,TextQuoteSelector,TextPositionSelector,16137,16145,WT_OG,no,[WT_OG],,acct:vanitha_hg@hypothes.is,The CULTEX RFS: a comprehensive technical approach for the in vitro exposure of airway epithelial cells to the particulate matter at the air-liquid interface.,2019-09-10T06:15:09.060265+00:00
KjDCaNOTEemDoFs18E66oQ,b53nbDmi,https://europepmc.org/articles/PMC3581133/,deposition of copper,module.  Figure 10(a) shows the ,(II) oxide micro on insert membr,TextQuoteSelector,TextPositionSelector,26667,26687,WT_DS,no,[WT_DS],,acct:vanitha_hg@hypothes.is,The CULTEX RFS: a comprehensive technical approach for the in vitro exposure of airway epithelial cells to the particulate matter at the air-liquid interface.,2019-09-10T06:21:02.956372+00:00
FW1C0NOSEemh0EvB3tD-1A,b53nbDmi,https://europepmc.org/articles/PMC3581133/,human, from animal experiments to the , organism due to species-specifi,TextQuoteSelector,TextPositionSelector,10565,10570,CRT_OG,yes,[CRT_OG][ALL],,acct:vanitha_hg@hypothes.is,The CULTEX RFS: a comprehensive technical approach for the in vitro exposure of airway epithelial cells to the particulate matter at the air-liquid interface.,2019-09-10T06:13:18.697456+00:00
Bs5iXtOSEemJ-1fDUDTdNw,b53nbDmi,https://europepmc.org/articles/PMC3581133/,animals,nts about the immense number of , needed to fulfill the requireme,TextQuoteSelector,TextPositionSelector,9704,9711,CRT_OG,no,CRT_OG,,acct:vanitha_hg@hypothes.is,The CULTEX RFS: a comprehensive technical approach for the in vitro exposure of airway epithelial cells to the particulate matter at the air-liquid interface.,2019-09-10T06:12:54.176186+00:00
95voztOREemNtkfRiIRwlQ,b53nbDmi,https://europepmc.org/articles/PMC3581133/,animal,ct mainly focus on results from , experiments based on the OECD g,TextQuoteSelector,TextPositionSelector,9226,9232,MIS_OG,yes,[MIS_OG][ALL],,acct:vanitha_hg@hypothes.is,The CULTEX RFS: a comprehensive technical approach for the in vitro exposure of airway epithelial cells to the particulate matter at the air-liquid interface.,2019-09-10T06:12:28.669803+00:00
7TcrgtOREem3FtMloLq6bQ,b53nbDmi,https://europepmc.org/articles/PMC3581133/,lung diseases, an increasing number of lethal ," over the last few decades [1, 2",TextQuoteSelector,TextPositionSelector,8928,8941,CRT_DS,no,CRT_DS,,acct:vanitha_hg@hypothes.is,The CULTEX RFS: a comprehensive technical approach for the in vitro exposure of airway epithelial cells to the particulate matter at the air-liquid interface.,2019-09-10T06:12:11.214037+00:00
4vE_htOSEemzZ3cWD6iLsA,b53nbDmi,https://europepmc.org/articles/PMC3581133/,lung adenocarcinoma,"exposure experiments, the human ", epithelial cell line A549 (ATCC,TextQuoteSelector,TextPositionSelector,20559,20578,CRT_DS,no,CRT_DS,,acct:vanitha_hg@hypothes.is,The CULTEX RFS: a comprehensive technical approach for the in vitro exposure of airway epithelial cells to the particulate matter at the air-liquid interface.,2019-09-10T06:19:03.505936+00:00
