id,group_id,source,exact,prefix,suffix,anno_type,position_type,start,end,tags,all,origin_tags,comment,user,title,created
zsCDbMQcEemGVoexbBw_vg,b53nbDmi,https://europepmc.org/articles/PMC3787392/,IL-2,hwayEIF2 signalingRegulation of , expression in activated and ane,TextQuoteSelector,TextPositionSelector,22004,22008,CRT_GP,no,CRT_GP,,acct:vanitha_hg@hypothes.is,"Activation of the Interferon Pathway is Dependent Upon Autoantibodies in African-American SLE Patients, but Not in European-American SLE Patients.",2019-08-21T14:06:01.471082+00:00
z5j64sQeEemY-Ofk7uxZIQ,b53nbDmi,https://europepmc.org/articles/PMC3787392/,viruses, in recognition of bacteria and ,Allograft rejection signalingAct,TextQuoteSelector,TextPositionSelector,22766,22773,MIS_OG,yes,[MIS_OG][ALL],,acct:vanitha_hg@hypothes.is,"Activation of the Interferon Pathway is Dependent Upon Autoantibodies in African-American SLE Patients, but Not in European-American SLE Patients.",2019-08-21T14:20:22.026552+00:00
ylCDhMQeEemP7YMKFMc1NA,b53nbDmi,https://europepmc.org/articles/PMC3787392/,bacteria,ion receptors in recognition of , and virusesAngiopoietin signali,TextQuoteSelector,TextPositionSelector,22404,22412,MIS_OG,yes,[MIS_OG][ALL],,acct:vanitha_hg@hypothes.is,"Activation of the Interferon Pathway is Dependent Upon Autoantibodies in African-American SLE Patients, but Not in European-American SLE Patients.",2019-08-21T14:20:13.022522+00:00
y8znqsQbEemedefbFngmgg,b53nbDmi,https://europepmc.org/articles/PMC3787392/,human,hways (1–3). Recent advances in , genetic studies have helped us ,TextQuoteSelector,TextPositionSelector,10771,10776,CRT_OG,yes,[CRT_OG][ALL],,acct:vanitha_hg@hypothes.is,"Activation of the Interferon Pathway is Dependent Upon Autoantibodies in African-American SLE Patients, but Not in European-American SLE Patients.",2019-08-21T13:58:46.723953+00:00
xPWmJMQbEemO75sZDr7_qw,b53nbDmi,https://europepmc.org/articles/PMC3787392/,MX1," EA patientsThree IFIGs (IFIT1, ",", and PKR) were selected for qPC",TextQuoteSelector,TextPositionSelector,28546,28549,CRT_GP,yes,[CRT_GP][ALL],,acct:vanitha_hg@hypothes.is,"Activation of the Interferon Pathway is Dependent Upon Autoantibodies in African-American SLE Patients, but Not in European-American SLE Patients.",2019-08-21T13:58:35.565946+00:00
woKU0MQeEemWGlM3VHvjgQ,b53nbDmi,https://europepmc.org/articles/PMC3787392/,p70S6K,g pathwayRegulation of eIF4 and , signalingGlucocorticoid recepto,TextQuoteSelector,TextPositionSelector,22271,22277,MIS_GP,yes,[MIS_GP][ALL],,acct:vanitha_hg@hypothes.is,"Activation of the Interferon Pathway is Dependent Upon Autoantibodies in African-American SLE Patients, but Not in European-American SLE Patients.",2019-08-21T14:19:59.998534+00:00
w2NWAsQcEemZOQP-NCzn9Q,b53nbDmi,https://europepmc.org/articles/PMC3787392/,ACR,s.**All SLE cases fulfilled the , criteria for SLE. Anti-RBP (ant,TextQuoteSelector,TextPositionSelector,17179,17182,WT_GP,no,[WT_GP],,acct:vanitha_hg@hypothes.is,"Activation of the Interferon Pathway is Dependent Upon Autoantibodies in African-American SLE Patients, but Not in European-American SLE Patients.",2019-08-21T14:05:42.450897+00:00
vc4NKMQbEem5amcTAekSTQ,b53nbDmi,https://europepmc.org/articles/PMC3787392/,RNA-binding-protein,"e immunofluorescence.RBP+, anti-"," (RBP) antibody positive; RBP−, ",TextQuoteSelector,TextPositionSelector,17387,17406,CRT_GP,yes,[CRT_GP][ALL],,acct:vanitha_hg@hypothes.is,"Activation of the Interferon Pathway is Dependent Upon Autoantibodies in African-American SLE Patients, but Not in European-American SLE Patients.",2019-08-21T13:58:23.528618+00:00
vC8D1MQeEemUDkvaUChIwA,b53nbDmi,https://europepmc.org/articles/PMC3787392/,eIF4, signaling pathwayRegulation of , and p70S6K signalingGlucocortic,TextQuoteSelector,TextPositionSelector,22262,22266,MIS_GP,yes,[MIS_GP][ALL],,acct:vanitha_hg@hypothes.is,"Activation of the Interferon Pathway is Dependent Upon Autoantibodies in African-American SLE Patients, but Not in European-American SLE Patients.",2019-08-21T14:19:49.393355+00:00
v-LUSMQdEemaikf0iSZ-WQ,b53nbDmi,https://europepmc.org/articles/PMC3787392/,TLR 9,s would be expected to activate ,. Genetic variations in the TLR ,TextQuoteSelector,TextPositionSelector,33295,33300,WS_GP,no,WS_GP,,acct:vanitha_hg@hypothes.is,"Activation of the Interferon Pathway is Dependent Upon Autoantibodies in African-American SLE Patients, but Not in European-American SLE Patients.",2019-08-21T14:12:46.124262+00:00
