id,group_id,source,exact,prefix,suffix,anno_type,position_type,start,end,tags,all,origin_tags,comment,user,title,created
znVAiNq-Eem-VA_dXojnxg,b53nbDmi,https://europepmc.org/articles/PMC4542470/,T7,vector-specific forward primer (,-promoter) and the appropriate g,TextQuoteSelector,TextPositionSelector,49841,49843,CRT_OG,yes,[CRT_OG][ALL],,acct:vanitha_hg@hypothes.is,Homologues of xenobiotic metabolizing N-acetyltransferases in plant-associated fungi: Novel functions for an old enzyme family.,2019-09-19T09:21:05.102903+00:00
zHz3Rtq3EemSOIPRFcaLXQ,b53nbDmi,https://europepmc.org/articles/PMC4542470/,Arabidopsis,ntly leucine and isoleucine) in ," roots, where they were abundant",TextQuoteSelector,TextPositionSelector,39197,39208,CRT_OG,no,CRT_OG,,acct:vanitha_hg@hypothes.is,Homologues of xenobiotic metabolizing N-acetyltransferases in plant-associated fungi: Novel functions for an old enzyme family.,2019-09-19T08:30:55.305199+00:00
yZmzitqxEemaKUMmXI77HQ,b53nbDmi,https://europepmc.org/articles/PMC4542470/,Fusarium oxysporum f.sp. lycopersici,"m (teleomorph Gibberella zeae), ",", Aspergillus flavus and Aspergi",TextQuoteSelector,TextPositionSelector,17849,17885,MIS_OG,yes,[MIS_OG][ALL],,acct:vanitha_hg@hypothes.is,Homologues of xenobiotic metabolizing N-acetyltransferases in plant-associated fungi: Novel functions for an old enzyme family.,2019-09-19T07:47:53.601311+00:00
yQAEMtqyEem9mqvGMZTYhg,b53nbDmi,https://europepmc.org/articles/PMC4542470/,fungus ,"gue was found in A. nidulans, a ",not associated with plants (Fig.,TextQuoteSelector,TextPositionSelector,20032,20039,MIS_OG,yes,[MIS_OG][ALL],,acct:vanitha_hg@hypothes.is,Homologues of xenobiotic metabolizing N-acetyltransferases in plant-associated fungi: Novel functions for an old enzyme family.,2019-09-19T07:55:01.798627+00:00
xrvEJNq_EemWD0-pYQmSYQ,b53nbDmi,https://europepmc.org/articles/PMC4542470/,human ,n of the protocol described for ,NAT218 [ http://www.thesgc.org/s,TextQuoteSelector,TextPositionSelector,51741,51747,MIS_OG,no,MIS_OG,,acct:vanitha_hg@hypothes.is,Homologues of xenobiotic metabolizing N-acetyltransferases in plant-associated fungi: Novel functions for an old enzyme family.,2019-09-19T09:28:01.729398+00:00
xbkWPNq4EemRiatQbeiNeQ,b53nbDmi,https://europepmc.org/articles/PMC4542470/,A. oryzae, been experimentally studied in ,", but the role of NAT3 (aoiL loc",TextQuoteSelector,TextPositionSelector,42901,42910,CRT_OG,no,CRT_OG,,acct:vanitha_hg@hypothes.is,Homologues of xenobiotic metabolizing N-acetyltransferases in plant-associated fungi: Novel functions for an old enzyme family.,2019-09-19T08:37:53.553240+00:00
xYYRbtq0EemiOo_A8130QA,b53nbDmi,https://europepmc.org/articles/PMC4542470/,delayed growth,"nd, were sensitive to BOA, with ", evident on media with lower con,TextQuoteSelector,TextPositionSelector,29937,29951,WT_DS,yes,[WT_DS][ALL],,acct:vanitha_hg@hypothes.is,Homologues of xenobiotic metabolizing N-acetyltransferases in plant-associated fungi: Novel functions for an old enzyme family.,2019-09-19T08:09:15.213908+00:00
xFmlJtq-EemrXsNn3ovRfg,b53nbDmi,https://europepmc.org/articles/PMC4542470/,E. coli JM109 ,. Following transformation into ,"competent cells, colonies were P",TextQuoteSelector,TextPositionSelector,49723,49737,WS_OG,no,WS_OG,,acct:vanitha_hg@hypothes.is,Homologues of xenobiotic metabolizing N-acetyltransferases in plant-associated fungi: Novel functions for an old enzyme family.,2019-09-19T09:20:48.225037+00:00
x9NkNtqzEemO25_YwOPR2w,b53nbDmi,https://europepmc.org/articles/PMC4542470/,N-acetyl/N-propionyltransferases,our activity assays for group I , and group II N-malonyltransfera,TextQuoteSelector,TextPositionSelector,22727,22759,MIS_GP,no,MIS_GP,,acct:vanitha_hg@hypothes.is,Homologues of xenobiotic metabolizing N-acetyltransferases in plant-associated fungi: Novel functions for an old enzyme family.,2019-09-19T08:02:09.494633+00:00
x8OyMNqjEem0UO8IxwbS0w,b53nbDmi,https://europepmc.org/articles/PMC4542470/,"arylhydroxamic acid N,O-acetyltransferase",ltransferase (EC 2.3.1.118) and , (EC 2.3.1.56) activities13. Pha,TextQuoteSelector,TextPositionSelector,12497,12538,MIS_GP,no,MIS_GP,,acct:vanitha_hg@hypothes.is,Homologues of xenobiotic metabolizing N-acetyltransferases in plant-associated fungi: Novel functions for an old enzyme family.,2019-09-19T06:07:37.566342+00:00
